player,team,position,games,winrate,avg_kills,avg_deaths,avg_assists,avg_damage,avg_dpm,avg_cspm,avg_vision,kda
ON,Bilibili Gaming,sup,189,0.6031746031746031,0.8941798941798942,3.9153439153439153,11.65079365079365,7630.576719576719,237.3729111111111,1.1252777777777778,121.58201058201058,3.204054054054054
Bin,Bilibili Gaming,top,189,0.6031746031746031,3.2857142857142856,2.417989417989418,6.037037037037037,18928.984126984127,582.5183656084656,8.121084656084657,29.841269841269842,3.8555798687089715
Keria,T1,sup,187,0.6310160427807486,0.8502673796791443,2.9037433155080214,11.925133689839573,7959.010695187166,252.6328219251337,1.055727807486631,119.10695187165776,4.39963167587477
Faker,T1,mid,187,0.6310160427807486,3.427807486631016,2.4919786096256686,7.090909090909091,21811.74331550802,683.7715855614973,8.487235294117648,33.663101604278076,4.221030042918455
Doran,T1,top,187,0.6310160427807486,2.935828877005348,3.3262032085561497,6.497326203208556,19761.45989304813,622.439590909091,7.892950267379679,33.87700534759358,2.8360128617363345
Oner,T1,jng,187,0.6310160427807486,4.0588235294117645,2.7593582887700534,8.171122994652407,15891.930481283422,501.82475775401065,6.878627272727273,48.973262032085564,4.432170542635659
JackeyLove,Top Esports,bot,183,0.6229508196721312,4.60655737704918,2.7868852459016393,6.994535519125683,25258.50273224044,773.4908770491804,9.212980327868852,43.42622950819672,4.162745098039215
Shanks,Anyone's Legend,mid,183,0.639344262295082,4.300546448087432,2.366120218579235,7.945355191256831,22483.4043715847,687.2782852459017,8.394292349726776,33.41530054644809,5.175519630484988
Tarzan,Anyone's Legend,jng,183,0.639344262295082,3.579234972677596,2.7431693989071038,9.273224043715848,16725.453551912567,514.7974218579235,6.7274043715847,52.18032786885246,4.685258964143427
Kael,Anyone's Legend,sup,183,0.639344262295082,0.7377049180327869,3.4262295081967213,12.491803278688524,7310.437158469946,225.29812021857921,1.1271562841530054,127.45901639344262,3.8612440191387556
369,Top Esports,top,183,0.6229508196721312,2.797814207650273,2.748633879781421,6.371584699453552,20429.956284153006,629.8102874316941,7.991349180327869,30.278688524590162,3.3359840954274356
Creme,Top Esports,mid,183,0.6229508196721312,3.8961748633879782,2.6885245901639343,7.240437158469946,24692.53005464481,764.3108180327869,8.320316393442623,35.57377049180328,4.142276422764228
Kanavi,Top Esports,jng,183,0.6229508196721312,4.2076502732240435,3.3224043715846996,8.404371584699453,17083.90163934426,531.9765,6.951256284153005,49.721311475409834,3.796052631578947
Flandre,Anyone's Legend,top,183,0.639344262295082,3.098360655737705,2.5081967213114753,7.39344262295082,19492.84699453552,595.9288202185793,7.975265027322405,32.92896174863388,4.183006535947713
Hope,Anyone's Legend,bot,183,0.639344262295082,5.595628415300546,2.092896174863388,7.311475409836065,25436.021857923497,772.7649885245902,9.314931147540984,43.322404371584696,6.167101827676241
