player,team,position,games,wins,avg_kills,avg_deaths,avg_assists,avg_dpm,avg_cspm,avg_vision,winrate,kda,weighted_winrate,weighted_kda,primary_league,region
DG kumuo,Deltan Gaming,bot,18,14,5.888888888888889,2.2777777777777777,9.055555555555555,709.0065388888889,7.871394444444444,26.555555555555557,77.8,6.56,77.8,6.56,LJL,Japan
3XA,Karmine Corp Blue,bot,127,85,5.803149606299213,1.858267716535433,6.3858267716535435,826.7568661417323,10.020285826771653,41.818897637795274,66.9,6.56,66.9,6.56,LFL,Europe
Netuno,Los Grandes,bot,45,24,5.044444444444444,1.711111111111111,6.111111111111111,688.756,9.36498888888889,33.888888888888886,53.3,6.52,53.3,6.52,CD,Latin America
Vaynedeta,Team Phantasma,bot,24,17,8.125,2.2916666666666665,6.708333333333333,883.5624833333333,9.74245,34.25,70.8,6.47,70.8,6.47,HLL,Europe
Dekap,Geekay Esports,sup,64,52,1.234375,2.234375,13.21875,238.65453593750001,1.0534953125,102.46875,81.2,6.47,81.2,6.47,AL,Europe
Rafitta,WLGaming Esports,bot,18,10,5.888888888888889,2.111111111111111,7.777777777777778,798.5810944444444,8.85126111111111,31.055555555555557,55.6,6.47,55.6,6.47,HLL,Europe
FliiZee,Oxygen Gaming,bot,16,11,6.625,2.1875,7.5,841.441625,8.78901875,35.0625,68.8,6.46,68.8,6.46,NEXO,Other
Kaze,RED Academy,mid,12,12,8.083333333333334,2.75,9.666666666666666,870.3723249999999,7.946883333333333,29.916666666666668,100.0,6.45,100.0,6.45,CD,Latin America
Strensh,Golden Lions,bot,13,6,5.615384615384615,1.6153846153846154,4.769230769230769,747.9333461538462,10.125146153846154,31.46153846153846,46.2,6.43,46.2,6.43,LRS,Other
BuLLDoG,DN Freecs Challengers,mid,10,7,4.8,2.0,8.0,852.18814,9.07735,40.6,70.0,6.4,70.0,6.4,LCKC,Korea
Levizin,7REX,jng,10,6,4.5,2.2,9.5,414.85585000000003,6.10541,43.4,60.0,6.36,60.0,6.36,CD,Latin America
Namiru,7REX,mid,10,6,3.6,1.8,7.8,673.5874200000001,8.030159999999999,37.3,60.0,6.33,60.0,6.33,CD,Latin America
Gavotto,Fuego,bot,47,29,5.9787234042553195,2.3191489361702127,8.702127659574469,797.4845531914893,9.281608510638298,33.829787234042556,61.7,6.33,61.7,6.33,LRN,Other
Insanity,Luminosity Gaming,mid,62,47,4.758064516129032,1.9838709677419355,7.548387096774194,754.243943548387,8.204953225806452,35.274193548387096,75.8,6.2,70.6,6.33,NACL,North America
Marcv1,Nocturne Gale,bot,39,27,5.948717948717949,2.1794871794871793,7.82051282051282,744.2959384615385,8.54696923076923,22.794871794871796,69.2,6.32,69.2,6.32,CT,Other
Nafkelah,Team Valiant,mid,46,30,5.608695652173913,2.1739130434782608,8.021739130434783,823.8228304347826,8.30013695652174,28.369565217391305,65.2,6.27,65.2,6.27,LFL2,Europe
FIERCE,Gamespace Mediterranean College Esports,mid,22,14,6.181818181818182,2.0,6.363636363636363,846.7473136363637,8.918677272727273,26.636363636363637,63.6,6.27,63.6,6.27,HLL,Europe
Crownie,Los Ratones,bot,108,86,5.296296296296297,1.8240740740740742,6.138888888888889,683.2826407407408,9.924144444444446,32.94444444444444,79.6,6.27,79.6,6.27,EM,Europe
Trigger,Geekay Esports,bot,34,27,5.705882352941177,1.8235294117647058,5.705882352941177,820.4310705882353,9.871229411764705,35.470588235294116,79.4,6.26,79.4,6.26,AL,Europe
