player,team,position,games,wins,avg_kills,avg_deaths,avg_assists,avg_dpm,avg_cspm,avg_vision,winrate,kda,weighted_winrate,weighted_kda,primary_league,region
Mxe,Esprit Shōnen,sup,17,12,0.7058823529411765,3.176470588235294,14.058823529411764,270.5947882352941,0.9463764705882353,115.23529411764706,70.6,4.65,70.6,4.65,LFL,Europe
bicas,Otter Side,jng,21,15,3.380952380952381,2.9047619047619047,10.095238095238095,478.92628571428565,6.59967619047619,39.857142857142854,71.4,4.64,71.4,4.64,LPLOL,Other
Tatu,FURIA,jng,67,35,3.298507462686567,2.2686567164179103,7.358208955223881,407.68172985074625,6.784464179104478,48.80597014925373,52.2,4.7,51.8,4.63,LTA S,Latin America
UNF0RGIVEN,Movistar KOI Fénix,bot,28,12,4.607142857142857,2.107142857142857,5.142857142857143,833.8104285714286,9.585185714285714,25.892857142857142,42.9,4.63,42.9,4.63,LVP SL,Europe
Ganks,LYON Academy,jng,12,6,4.916666666666667,3.1666666666666665,9.75,622.890975,6.4516333333333336,37.916666666666664,50.0,4.63,50.0,4.63,LRN,Other
Wind1,WLGaming Esports,top,11,7,3.090909090909091,2.4545454545454546,8.272727272727273,513.4284545454545,7.438299999999999,25.0,63.6,4.63,63.6,4.63,HLL,Europe
Ahn,EDward Gaming,bot,58,32,4.310344827586207,2.4482758620689653,7.017241379310345,737.0381189655172,8.886858620689656,40.310344827586206,55.2,4.63,55.2,4.63,LPL,China
ShowMaker,Dplus KIA,mid,163,93,3.6564417177914113,2.276073619631902,6.803680981595092,662.9099680981595,8.522820858895706,36.98159509202454,57.1,4.6,56.5,4.62,LCK,Korea
2Guns,DCT eSports,bot,10,4,3.8,2.4,7.3,750.69079,8.813039999999999,34.5,40.0,4.62,40.0,4.62,LRN,Other
Funky Dog,Maze Gaming,jng,47,27,3.9361702127659575,2.9361702127659575,9.638297872340425,490.8682425531915,6.470476595744681,48.87234042553192,57.4,4.62,57.4,4.62,LRS,Other
Markus,Keypulse Esports,jng,10,5,3.9,2.9,9.5,482.89166000000006,6.80941,40.4,50.0,4.62,50.0,4.62,LPLOL,Other
xMatty,NORD Esports,bot,20,11,5.4,2.65,6.85,740.421425,8.576080000000001,25.15,55.0,4.62,55.0,4.62,NLC,Europe
Marty,Veni Vidi Vici,mid,36,17,3.9722222222222223,2.4722222222222223,7.444444444444445,688.8316055555556,8.13105,25.47222222222222,47.2,4.62,47.2,4.62,EM,Europe
kehvo,Rich Gang,bot,22,11,5.2727272727272725,2.3181818181818183,5.409090909090909,785.1236545454547,8.844809090909092,19.40909090909091,50.0,4.61,50.0,4.61,NLC,Europe
DARKWINGS,Conviction,mid,35,20,3.7714285714285714,2.2857142857142856,6.771428571428571,807.1272257142857,8.807202857142856,39.25714285714286,57.1,4.61,57.1,4.61,NACL,North America
Pinki,SPIKE Syndicate,bot,27,13,5.7407407407407405,2.740740740740741,6.888888888888889,817.9252740740741,9.146785185185186,25.11111111111111,48.1,4.61,48.1,4.61,EBL,Europe
Tasteless,Partizan Sangal,sup,31,19,0.5483870967741935,2.838709677419355,12.516129032258064,201.7555612903226,0.9385096774193549,97.35483870967742,61.3,4.6,61.3,4.6,EBL,Europe
Leave,EDward Gaming,bot,13,8,5.923076923076923,2.6923076923076925,6.461538461538462,802.6721538461538,8.994061538461539,35.53846153846154,61.5,4.6,61.5,4.6,DCup,China
Aladoric,Austrian Force willhaben,sup,18,7,1.0,2.9444444444444446,12.555555555555555,229.3363,0.9573388888888889,113.38888888888889,38.9,4.6,38.9,4.6,PRM,Europe
Jankos,Ruddy Esports,jng,14,8,3.7857142857142856,3.0714285714285716,10.357142857142858,473.5692357142857,6.133878571428572,41.714285714285715,57.1,4.6,57.1,4.6,NLC,Europe
Grevthar,KaBuM! Ilha das Lendas,mid,24,12,3.5416666666666665,2.375,7.375,650.9192208333333,8.211666666666666,38.416666666666664,50.0,4.6,50.0,4.6,CD,Latin America
Lac,Maze Gaming,bot,47,27,4.76595744680851,2.723404255319149,7.723404255319149,741.6055382978723,9.156753191489361,32.765957446808514,57.4,4.59,57.4,4.59,LRS,Other
CRoNiiK,Esprit Shōnen,jng,76,52,2.8421052631578947,2.9473684210526314,10.697368421052632,469.23397105263155,6.3196394736842105,36.39473684210526,68.4,4.59,68.4,4.59,LFL2,Europe
chico,Yang Yang Gaming,bot,19,12,4.578947368421052,3.0526315789473686,9.421052631578947,762.6883789473684,7.846336842105263,34.10526315789474,63.2,4.59,63.2,4.59,LJL,Japan
Leza,Zeu5 Esports,mid,25,17,5.2,2.44,6.0,813.159984,9.880616,33.48,68.0,4.59,68.0,4.59,LRN,Other
Exofeng,Bulldog Esports,bot,36,18,6.583333333333333,2.8055555555555554,6.305555555555555,795.5221777777778,8.563308333333332,28.13888888888889,50.0,4.59,50.0,4.59,NLC,Europe
Nomi,Rich Gang,bot,13,7,5.461538461538462,2.230769230769231,4.769230769230769,781.0552846153846,9.205338461538462,24.692307692307693,53.8,4.59,53.8,4.59,NLC,Europe
Solid,Estral Esports,jng,32,19,3.34375,2.75,9.375,410.935834375,6.1397125,43.9375,59.4,4.62,56.5,4.59,LRN,Other
Sayn,IziDream,mid,63,34,4.920634920634921,2.7142857142857144,7.507936507936508,801.1257095238095,8.692811111111112,29.476190476190474,54.0,4.58,54.0,4.58,LFL2,Europe
looki,DKB XPERION NXT,bot,18,8,7.111111111111111,2.7777777777777777,5.611111111111111,907.4740888888889,8.823772222222223,26.166666666666668,44.4,4.58,44.4,4.58,PRM,Europe
Kumew,Team Evermeet,bot,18,5,3.8333333333333335,2.0,5.333333333333333,663.2257055555556,9.132183333333334,26.166666666666668,27.8,4.58,27.8,4.58,LRS,Other
Burdol,Nongshim Esports Academy,top,45,28,4.066666666666666,2.2444444444444445,6.2,691.52388,8.20539111111111,38.06666666666667,62.2,4.57,62.7,4.58,LCKC,Korea
Mahonix,mCon esports,sup,19,13,0.6842105263157895,2.526315789473684,10.894736842105264,195.34754736842106,1.0010684210526315,102.57894736842105,68.4,4.58,68.4,4.58,ROL,Other
Innaxe,Dung Dynasty,bot,13,6,6.0,2.8461538461538463,7.0,876.1785769230769,8.737676923076922,38.69230769230769,46.2,4.57,46.2,4.57,PRM,Europe
ToongE,BoostGate Esports,bot,60,39,4.883333333333334,2.716666666666667,7.65,812.6237233333334,8.886168333333334,37.8,65.0,4.61,64.7,4.57,TCL,Europe
Envy,Dopamina E-Sport,mid,33,19,4.515151515151516,2.484848484848485,6.848484848484849,774.1045454545455,8.10500909090909,30.454545454545453,57.6,4.57,57.6,4.57,CD,Latin America
Odi11,Forsaken,bot,70,41,5.9714285714285715,2.585714285714286,5.814285714285714,796.8242342857143,8.832904285714287,21.457142857142856,58.6,4.56,58.6,4.56,RL,Other
Afriibi,ZennIT,bot,54,35,5.296296296296297,2.740740740740741,7.203703703703703,802.9189111111111,9.11487962962963,25.962962962962962,64.8,4.56,64.8,4.56,ROL,Other
Coldraa,Ramboot Club,bot,15,8,3.533333333333333,2.2666666666666666,6.8,699.4075733333334,8.926746666666666,29.333333333333332,53.3,4.56,53.3,4.56,LVP SL,Europe
Quad,FlyQuest,mid,91,64,3.769230769230769,2.2527472527472527,7.142857142857143,724.5453582417582,8.478758241758241,36.8021978021978,70.3,4.84,68.1,4.55,LTA N,North America
Supa,Movistar KOI,bot,109,58,4.981651376146789,2.091743119266055,4.541284403669724,685.7151449541285,9.730626605504588,37.174311926605505,53.2,4.55,51.7,4.54,LEC,Europe
Nikiyas,Gamespace Mediterranean College Esports,bot,13,4,5.615384615384615,2.8461538461538463,7.3076923076923075,830.6443923076923,8.743492307692309,34.76923076923077,30.8,4.54,30.8,4.54,HLL,Europe
Tomrio,Saigon Dino,jng,27,19,3.4444444444444446,3.2222222222222223,10.88888888888889,460.59434074074073,6.545999999999999,51.51851851851852,70.4,4.45,72.0,4.54,VCS,Southeast Asia
KSAEZ,Anubis Gaming,mid,14,6,4.428571428571429,2.642857142857143,7.571428571428571,687.4277928571429,8.465735714285714,40.714285714285715,42.9,4.54,42.9,4.54,AL,Europe
Envy,Flamengo MDL,mid,47,25,4.340425531914893,2.4893617021276597,7.276595744680851,726.8828361702128,7.975459574468085,34.170212765957444,53.2,4.67,53.8,4.54,CD,Latin America
ONLY,KIA.eSuba Academy,bot,81,52,7.185185185185185,2.9135802469135803,6.0,880.2157234567901,8.411107407407409,22.876543209876544,64.2,4.53,64.2,4.53,HC,Other
ANDARIEL,UCAM Esports,bot,62,32,5.209677419354839,2.629032258064516,6.693548387096774,782.6486790322581,8.492291935483872,31.096774193548388,51.6,4.53,51.6,4.53,LVP SL,Europe
Inzuh,Zena Esports,mid,28,17,4.142857142857143,2.892857142857143,8.964285714285714,721.6306642857143,8.065900000000001,24.642857142857142,60.7,4.53,60.7,4.53,LIT,Europe
Dovendyr,Fortress Esports,sup,12,6,0.6666666666666666,3.0,12.916666666666666,198.47006666666667,1.0256583333333333,95.33333333333333,50.0,4.53,50.0,4.53,NLC,Europe
Rookie,Invictus Gaming,mid,144,84,3.5902777777777777,2.5555555555555554,8.097222222222221,702.27745625,8.249223611111113,38.6875,58.3,4.57,57.7,4.53,LPL,China
Balyy,AVE Axolotl,jng,15,9,4.466666666666667,2.8666666666666667,8.533333333333333,607.73212,6.948953333333334,42.6,60.0,4.53,60.0,4.53,LIT,Europe
Morttheus,Vivo Keyd Stars,bot,69,36,4.608695652173913,2.2753623188405796,5.768115942028985,734.6319463768116,9.37474347826087,41.94202898550725,52.2,4.56,52.2,4.53,LTA S,Latin America
Vasco,Zero Tenacity,mid,99,63,3.606060606060606,2.323232323232323,6.91919191919192,718.6366575757576,8.71619393939394,27.474747474747474,63.6,4.53,63.6,4.53,RL,Other
TakeSet,Solary,bot,62,30,5.048387096774194,2.435483870967742,5.983870967741935,749.5159516129032,9.47422741935484,43.193548387096776,48.4,4.53,48.4,4.53,LFL,Europe
Pretender,Frank Esports,mid,100,62,3.93,2.58,7.6,759.493256,8.36402,30.2,62.0,4.47,62.5,4.52,PCS,Southeast Asia
RapMonsters,Odivelas Sports Club,mid,26,14,4.230769230769231,2.230769230769231,5.846153846153846,652.4613461538461,7.4562346153846155,23.846153846153847,53.8,4.52,53.8,4.52,LPLOL,Other
fantomisto,DMG Esports,mid,15,7,3.3333333333333335,2.2,6.6,631.2402066666667,8.363573333333333,28.666666666666668,46.7,4.52,46.7,4.52,NLC,Europe
Shad0w,Bilibili Gaming,jng,49,31,3.7142857142857144,3.163265306122449,10.591836734693878,495.7686775510204,6.633638775510204,53.51020408163265,63.3,4.52,63.5,4.52,LPL,China
Celo,Stellae Gaming,bot,37,23,3.891891891891892,2.189189189189189,5.972972972972973,683.6299891891892,9.1472,41.08108108108108,62.2,4.51,62.2,4.51,CD,Latin America
SlowQ,Karmine Corp Blue,mid,127,85,3.7007874015748032,2.425196850393701,7.228346456692913,727.6073850393701,8.923512598425198,37.14173228346457,66.9,4.51,66.9,4.51,LFL,Europe
Hydra,LUA Gaming,mid,55,30,4.581818181818182,2.5090909090909093,6.709090909090909,698.4793163636364,8.70280909090909,32.14545454545455,54.5,4.5,54.5,4.5,LVP SL,Europe
Sebekx,GOAL,mid,13,7,4.6923076923076925,2.6153846153846154,7.076923076923077,745.6050615384615,8.018384615384615,23.384615384615383,53.8,4.5,53.8,4.5,HLL,Europe
Van,QT DIG∞,jng,38,19,5.026315789473684,2.9473684210526314,7.657894736842105,564.7500289473685,6.734210526315789,42.55263157894737,50.0,4.3,52.4,4.5,LJL,Japan
Ibai,Oxygen Gaming,bot,28,15,7.0,3.0714285714285716,6.785714285714286,977.8251285714285,8.789517857142858,29.928571428571427,53.6,4.49,53.6,4.49,NEXO,Other
Keria,T1,sup,187,118,0.8502673796791443,2.9037433155080214,11.925133689839573,252.6328219251337,1.055727807486631,119.10695187165776,63.1,4.4,63.1,4.49,LCK,Korea
uZent,RED Academy,sup,47,34,1.3829787234042554,3.127659574468085,12.659574468085106,256.671814893617,1.279744680851064,124.34042553191489,72.3,4.49,72.3,4.49,CD,Latin America
Trigo,Flamengo MDL,bot,47,25,4.191489361702128,2.574468085106383,6.9787234042553195,702.2452893617021,8.818812765957446,41.170212765957444,53.2,4.34,53.8,4.49,CD,Latin America
Ichiwin,Zeu5 Esports,sup,22,14,0.6818181818181818,2.9545454545454546,12.545454545454545,211.1956590909091,0.93825,102.54545454545455,63.6,4.48,63.6,4.48,LRN,Other
Jeskla,Kaufland Hangry Knights,bot,65,34,4.492307692307692,2.4,6.2615384615384615,724.2839353846155,8.535293846153845,32.76923076923077,52.3,4.48,52.3,4.48,PRM,Europe
Six10,TeamOrangeGaming,mid,81,43,4.444444444444445,2.506172839506173,6.790123456790123,736.9958037037037,9.193671604938272,27.950617283950617,53.1,4.48,53.1,4.48,PRM,Europe
D4nKa,Verdant,jng,32,21,3.59375,2.90625,9.40625,519.378796875,6.0821625,40.84375,65.6,4.47,65.6,4.47,NLC,Europe
Charley,Dream in 24,sup,36,26,1.5277777777777777,3.75,15.25,307.7180611111111,0.9275777777777778,90.0,72.2,4.47,72.2,4.47,LJL,Japan
Egotistic,Seven Dark,bot,13,5,5.846153846153846,2.769230769230769,6.538461538461538,714.9243615384615,8.355169230769231,26.0,38.5,4.47,38.5,4.47,LRS,Other
Kamyta,Keypulse Esports,sup,10,5,1.1,3.0,12.3,178.18984,0.9225999999999999,94.3,50.0,4.47,50.0,4.47,LPLOL,Other
NCP Nangning,Night Cap,mid,12,5,5.75,2.8333333333333335,6.916666666666667,803.4788416666667,7.0412333333333335,37.5,41.7,4.47,41.7,4.47,LJL,Japan
Manaty,Team Phantasma,jng,94,65,3.9361702127659575,3.106382978723404,9.957446808510639,468.8936244680851,6.703589361702127,45.5,69.1,4.47,69.1,4.47,HLL,Europe
Rahel,Disguised,bot,27,16,4.555555555555555,2.111111111111111,4.888888888888889,705.0713000000001,10.151807407407407,43.77777777777778,59.3,4.47,59.3,4.47,LTA N,North America
Syzyfek,Ramboot Club,bot,14,7,4.785714285714286,2.857142857142857,8.0,825.5939142857143,8.65665,30.428571428571427,50.0,4.47,50.0,4.47,LVP SL,Europe
Jelly,Fuego,sup,15,8,1.0666666666666667,3.6666666666666665,15.333333333333334,249.8964533333333,1.1413333333333333,124.26666666666667,53.3,4.47,53.3,4.47,LRN,Other
Vladi,Karmine Corp,mid,106,63,3.3207547169811322,2.330188679245283,6.60377358490566,692.4030867924528,8.853954716981132,36.91509433962264,59.4,4.26,61.1,4.46,LEC,Europe
LADYBUG,Kawaii Kiwis,bot,23,13,6.0,3.0,7.391304347826087,857.7069217391305,8.570908695652173,30.52173913043478,56.5,4.46,56.5,4.46,NEXO,Other
Skyp,Dynamo Eclot Talents,bot,18,8,4.055555555555555,2.2777777777777777,6.111111111111111,673.6735388888889,8.63626111111111,19.0,44.4,4.46,44.4,4.46,HC,Other
Ze Luis,Otter Side,sup,18,12,1.0,3.2777777777777777,13.61111111111111,272.4426722222222,1.0564166666666666,112.61111111111111,66.7,4.46,66.7,4.46,LPLOL,Other
Aeru,BAAM Esports,bot,27,12,7.185185185185185,3.3703703703703702,7.851851851851852,872.4905333333334,9.127281481481482,21.22222222222222,44.4,4.46,44.4,4.46,AL,Europe
Oner,T1,jng,187,118,4.0588235294117645,2.7593582887700534,8.171122994652407,501.82475775401065,6.878627272727273,48.973262032085564,63.1,4.43,63.1,4.45,LCK,Korea
ilyy,Keypulse Esports,bot,10,5,7.2,2.9,5.7,813.29437,9.06451,19.1,50.0,4.45,50.0,4.45,LPLOL,Other
Perle,Night Cap,top,12,5,3.75,2.4166666666666665,7.0,523.5817916666666,7.257808333333333,33.5,41.7,4.45,41.7,4.45,LJL,Japan
Dragonblood,Dream in 24,jng,29,21,4.551724137931035,3.3448275862068964,10.379310344827585,525.8786758620689,6.912944827586207,37.37931034482759,72.4,4.46,72.5,4.45,LJL,Japan
Kati,MGN Vikings Esports,mid,87,47,3.310344827586207,2.3908045977011496,7.32183908045977,697.5831022988506,8.55167356321839,38.67816091954023,54.0,4.45,54.0,4.45,LCP,Southeast Asia
Dragonblood,Dream in 24,jng,29,21,4.551724137931035,3.3448275862068964,10.379310344827585,525.8786758620689,6.912944827586207,37.37931034482759,72.4,4.46,72.5,4.45,LJL,Japan
Dragonblood,Dream in 24,jng,29,21,4.551724137931035,3.3448275862068964,10.379310344827585,525.8786758620689,6.912944827586207,37.37931034482759,72.4,4.46,72.5,4.45,LJL,Japan
Dragonblood,Dream in 24,jng,29,21,4.551724137931035,3.3448275862068964,10.379310344827585,525.8786758620689,6.912944827586207,37.37931034482759,72.4,4.46,72.5,4.45,LJL,Japan
Peppe,Team Phantasma,mid,89,61,5.157303370786517,2.853932584269663,7.50561797752809,715.5326786516854,8.860549438202247,37.87640449438202,68.5,4.44,68.5,4.44,HLL,Europe
Tochas,Leões Porto Salvo Esports,sup,11,6,1.2727272727272727,3.5454545454545454,14.454545454545455,238.0618090909091,1.119709090909091,108.63636363636364,54.5,4.44,54.5,4.44,LPLOL,Other
UniqueCORN,FlameHard,mid,18,12,5.5,2.5555555555555554,5.833333333333333,706.5577055555555,8.572316666666667,25.22222222222222,66.7,4.43,66.7,4.43,LPLOL,Other
Phantasm,CGN Esports,mid,40,24,5.75,2.8,6.65,795.5455425,8.36097,22.45,60.0,4.43,60.0,4.43,PRM,Europe
Wolorz,Entropiq,mid,36,19,3.8333333333333335,2.361111111111111,6.611111111111111,737.3939916666667,8.715816666666667,24.444444444444443,52.8,4.42,52.8,4.42,HM,Europe
Neramin,Team Paradox,bot,16,11,6.9375,3.125,6.875,766.47260625,8.96373125,16.0625,68.8,4.42,68.8,4.42,HLL,Europe
Kina,Cusprills,mid,15,10,4.6,2.7333333333333334,7.466666666666667,644.2003533333334,7.811566666666667,33.53333333333333,66.7,4.41,66.7,4.41,CD,Latin America
Rin,Los Heretics,bot,120,75,4.616666666666666,2.6166666666666667,6.916666666666667,801.5797016666667,9.4621625,40.43333333333333,62.5,4.41,62.5,4.41,LVP SL,Europe
Roison,Back2TheGame,mid,50,28,4.7,2.9,8.1,798.7457360000001,7.746745999999999,20.54,56.0,4.41,56.0,4.41,RL,Other
Yikesuo,CITA Kaizen,mid,14,8,6.857142857142857,3.2142857142857144,7.285714285714286,849.2290071428571,8.01142857142857,30.142857142857142,57.1,4.4,57.1,4.4,HC,Other
Huron,Meavedron,bot,34,20,4.911764705882353,2.676470588235294,6.852941176470588,890.5064529411766,9.262658823529412,25.735294117647058,58.8,4.4,58.8,4.4,HW,Other
Sty1e,MGN Vikings Esports,bot,26,15,3.8846153846153846,2.769230769230769,8.307692307692308,736.7196846153846,8.623773076923076,41.53846153846154,57.7,4.4,57.7,4.4,LCP,Southeast Asia
RustySniper,LEO,bot,14,11,8.642857142857142,3.7857142857142856,8.0,1094.8175785714286,8.675657142857142,27.5,78.6,4.4,78.6,4.4,NLC,Europe
Janus,T1 Esports Academy Rookies,top,75,51,4.6,2.5866666666666664,6.786666666666667,712.9146519999999,7.864461333333334,29.266666666666666,68.0,4.4,68.0,4.4,LAS,Latin America
Tibor,Tan'i eSports CZ,mid,27,16,4.962962962962963,2.7777777777777777,7.2592592592592595,809.7199814814815,8.388311111111111,25.444444444444443,59.3,4.4,59.3,4.4,HM,Europe
CarioK,paiN Gaming,jng,62,33,2.5806451612903225,2.629032258064516,8.790322580645162,420.39440967741933,6.261696774193548,50.29032258064516,53.2,4.33,55.5,4.4,LTA S,Latin America
Color,Macko Esports,top,19,15,3.6842105263157894,2.473684210526316,7.2105263157894735,686.9621421052631,8.113810526315788,26.894736842105264,78.9,4.4,78.9,4.4,LIT,Europe
D4SH,Odivelas Sports Club,jng,23,13,3.5652173913043477,2.869565217391304,9.043478260869565,502.1761782608696,5.561139130434783,38.17391304347826,56.5,4.39,56.5,4.39,LPLOL,Other
Busio,FlyQuest,sup,91,64,0.8461538461538461,2.67032967032967,11.45054945054945,223.68927032967034,0.972743956043956,118.23076923076923,70.3,4.6,68.1,4.39,LTA N,North America
Betty,PSG Talon,bot,92,49,4.489130434782608,2.0543478260869565,5.478260869565218,719.8699869565216,9.38744347826087,39.71739130434783,53.3,4.85,50.0,4.39,LCP,Southeast Asia
Mentos,Team Insidious,mid,27,14,3.8518518518518516,2.7777777777777777,8.333333333333334,757.435162962963,8.358759259259259,27.703703703703702,51.9,4.39,51.9,4.39,HLL,Europe
Yeon,Team Liquid,bot,69,33,4.971014492753623,2.2753623188405796,5.043478260869565,755.04694057971,9.081989855072463,40.21739130434783,47.8,4.4,47.4,4.38,LTA N,North America
Woolite,Zero Tenacity,bot,102,65,5.7254901960784315,2.9705882352941178,7.294117647058823,822.5514735294117,9.151967647058823,32.80392156862745,63.7,4.38,63.7,4.38,RL,Other
Zanzarah,Eintracht Frankfurt,jng,14,8,2.357142857142857,3.2142857142857144,11.714285714285714,475.98807857142856,6.134228571428571,49.357142857142854,57.1,4.38,57.1,4.38,PRM,Europe
ardaffler,KAOS e-sport,bot,11,4,6.7272727272727275,2.6363636363636362,4.818181818181818,718.3778727272728,8.653363636363636,31.727272727272727,36.4,4.38,36.4,4.38,NLC,Europe
Pyeonsik,Hanwha Life Esports Challengers,bot,105,47,4.571428571428571,2.5428571428571427,6.571428571428571,732.0977323809524,9.038077142857142,38.58095238095238,44.8,4.38,44.9,4.38,LCKC,Korea
Zeka,Hanwha Life Esports,mid,169,109,4.230769230769231,2.4319526627218937,6.662721893491124,690.4514307692308,8.626797041420119,39.42011834319526,64.5,4.48,63.3,4.37,LCK,Korea
Ace,Falke Esports,bot,43,26,5.8604651162790695,2.86046511627907,6.627906976744186,780.5654953488372,8.895800000000001,31.86046511627907,60.5,4.37,60.5,4.37,NEXO,Other
Blaber,Cloud9,jng,75,48,3.2,2.8,8.706666666666667,436.3614666666667,7.154077333333333,50.70666666666666,64.0,4.25,64.9,4.37,LTA N,North America
Array,Blue Otter,bot,23,10,3.347826086956522,2.217391304347826,6.3478260869565215,750.4998956521739,8.642469565217391,38.34782608695652,43.5,4.37,43.5,4.37,NACL,North America
SAJATOR,Los Heretics,mid,65,43,4.0,2.5076923076923077,6.938461538461539,668.9984523076923,8.21692,33.86153846153846,66.2,4.36,66.2,4.36,LVP SL,Europe
zamulek,StormMedia Fajnie Mieć Skład,bot,73,41,5.2465753424657535,2.6301369863013697,6.232876712328767,788.8305520547945,8.869027397260274,33.50684931506849,56.2,4.36,56.2,4.36,RL,Other
Doublelift,Near Airport,bot,33,20,5.181818181818182,2.5454545454545454,5.878787878787879,726.0821272727273,9.684642424242424,37.63636363636363,60.6,4.35,60.6,4.35,NACL,North America
frosty,RED Canids,sup,63,32,0.9682539682539683,2.8412698412698414,11.34920634920635,243.70488412698413,1.2348158730158731,131.14285714285714,50.8,4.34,51.7,4.35,LTA S,Latin America
deokdam,KT Rolster,bot,122,63,4.508196721311475,2.4836065573770494,6.180327868852459,723.4741786885246,8.904394262295082,35.877049180327866,51.6,4.3,53.1,4.34,LCK,Korea
Quid,100 Thieves,mid,74,41,4.513513513513513,2.635135135135135,7.216216216216216,758.2875162162162,8.863297297297297,39.28378378378378,55.4,4.45,53.3,4.34,LTA N,North America
Faker,T1,mid,187,118,3.427807486631016,2.4919786096256686,7.090909090909091,683.7715855614973,8.487235294117648,33.663101604278076,63.1,4.22,63.1,4.34,LCK,Korea
Shiganari,Verdant,bot,17,10,5.0588235294117645,2.5294117647058822,5.882352941176471,837.540694117647,9.33304705882353,29.11764705882353,58.8,4.33,58.8,4.33,NLC,Europe
Cuzz,KT Rolster,jng,130,66,3.276923076923077,2.6153846153846154,7.7615384615384615,450.9575623076923,6.623886923076923,58.09230769230769,50.8,4.22,52.2,4.33,LCK,Korea
Daksider,GTZ Esports,bot,13,7,6.076923076923077,2.6153846153846154,5.230769230769231,774.8571846153847,9.953553846153845,27.53846153846154,53.8,4.32,53.8,4.32,LPLOL,Other
Jankos,NORD Esports,jng,40,25,3.55,2.775,8.45,444.67601249999996,6.22217,46.525,62.5,4.32,62.5,4.32,NLC,Europe
FBI,100 Thieves,bot,74,41,4.594594594594595,2.5405405405405403,6.513513513513513,801.3358067567567,8.904932432432433,34.87837837837838,55.4,4.37,53.3,4.32,LTA N,North America
Decay,Solary,mid,62,30,3.935483870967742,2.3548387096774195,6.225806451612903,718.639864516129,8.67545806451613,37.70967741935484,48.4,4.32,48.4,4.32,LFL,Europe
Jopa,Vitality.Bee,bot,84,47,4.678571428571429,2.511904761904762,6.178571428571429,835.184555952381,9.675385714285714,36.61904761904762,56.0,4.32,56.0,4.32,LFL,Europe
Washidai,QT DIG∞,top,64,41,2.875,2.359375,6.625,562.5338359375,7.7834,28.015625,64.1,4.03,66.3,4.31,LJL,Japan
Spirax,DarkZero Dragonsteel,mid,26,18,3.923076923076923,2.576923076923077,7.1923076923076925,683.0958076923076,8.59145,35.34615384615385,69.2,4.31,69.2,4.31,NACL,North America
Furuy,Fog Esports,mid,37,17,4.594594594594595,2.7027027027027026,7.054054054054054,809.4004135135135,8.948013513513514,28.16216216216216,45.9,4.31,45.9,4.31,AL,Europe
Jiejie,Invictus Gaming,jng,90,52,3.6666666666666665,2.8555555555555556,8.644444444444444,488.9957111111111,6.807864444444444,52.8,57.8,4.31,57.8,4.31,LPL,China
Akanania,Team UNiTY,bot,16,7,5.0625,2.8125,7.0625,698.891825,8.67551875,37.75,43.8,4.31,43.8,4.31,HM,Europe
Nia,Top Esports Challenger,mid,13,6,4.923076923076923,2.769230769230769,7.0,721.4815384615384,8.277430769230769,29.615384615384617,46.2,4.31,46.2,4.31,Asia Master,Other
Shogun,MGN Vikings Esports,bot,61,32,3.8852459016393444,2.278688524590164,5.934426229508197,701.1115360655738,9.551891803278687,38.967213114754095,52.5,4.31,52.5,4.31,LCP,Southeast Asia
Daksider,Team UNiTY,bot,24,10,6.291666666666667,2.75,5.541666666666667,676.0830958333333,9.398729166666667,25.666666666666668,41.7,4.3,41.7,4.3,HM,Europe
Shiganari,IziDream,bot,24,13,5.75,2.9166666666666665,6.791666666666667,708.46855,8.756275,29.791666666666668,54.2,4.3,54.2,4.3,LFL2,Europe
Snaker,Isurus Estral,bot,38,19,3.710526315789474,2.210526315789474,5.815789473684211,632.6725684210527,9.04452894736842,34.10526315789474,50.0,4.31,50.7,4.3,LTA S,Latin America
Keii,Zeu5 Esports,top,25,17,4.64,2.52,6.2,836.700248,8.190812,28.12,68.0,4.3,68.0,4.3,LRN,Other
Kofte,BBL Dark Passage,mid,36,15,3.4444444444444446,2.4166666666666665,6.916666666666667,635.9586166666667,8.51101388888889,35.47222222222222,41.7,4.29,41.7,4.29,TCL,Europe
Fun K3y,ROSSMANN Centaurs,bot,52,29,5.653846153846154,3.0,7.211538461538462,796.98685,8.980917307692307,36.03846153846154,55.8,4.29,55.8,4.29,PRM,Europe
Vzz,TeamOrangeGaming,bot,81,43,5.62962962962963,2.567901234567901,5.382716049382716,801.2902037037037,9.325850617283951,28.17283950617284,53.1,4.29,53.1,4.29,PRM,Europe
Peaker,GLORE,mid,12,5,4.833333333333333,2.5833333333333335,6.25,773.5010833333332,8.256633333333333,23.75,41.7,4.29,41.7,4.29,HM,Europe
Wuis,Zena Esports,sup,28,17,1.1428571428571428,3.3214285714285716,13.107142857142858,230.23573214285713,0.9386964285714285,90.21428571428571,60.7,4.29,60.7,4.29,LIT,Europe
Dire,Team Secret Whales,mid,78,43,3.769230769230769,2.3076923076923075,6.897435897435898,647.7322410256411,8.339435897435898,31.833333333333332,55.1,4.62,52.2,4.28,LCP,Southeast Asia
Xeonerr,Crvena zvezda Esports,jng,67,43,3.8507462686567164,3.074626865671642,9.298507462686567,478.41058805970147,6.39805671641791,42.67164179104478,64.2,4.28,64.2,4.28,EBL,Europe
