team,games,wins,avg_kills,avg_deaths,avg_dragons,avg_barons,avg_towers,avg_gamelength,winrate,weighted_winrate,primary_league,region
SPIKE Syndicate,60,32,18.616666666666667,16.533333333333335,2.1333333333333333,0.5833333333333334,6.366666666666666,31.5,53.3,53.3,EBL,Europe
GOAL,30,16,17.966666666666665,17.9,2.1,0.43333333333333335,5.933333333333334,31.7,53.3,53.3,HLL,Europe
Ici Japon Corp. Esport,77,41,15.0,14.467532467532468,2.2857142857142856,0.6103896103896104,6.233766233766234,33.0,53.2,53.2,LFL,Europe
TeamOrangeGaming,81,43,16.876543209876544,15.604938271604938,2.123456790123457,0.5185185185185185,6.148148148148148,31.3,53.1,53.1,PRM,Europe
Eternal Fire,36,19,17.5,17.083333333333332,2.4444444444444446,0.7777777777777778,6.277777777777778,34.4,52.8,52.8,TCL,Europe
Gen.G Scholars,95,50,19.50526315789474,20.53684210526316,1.7157894736842105,0.3894736842105263,6.7894736842105265,29.7,52.6,52.6,LAS,Latin America
Kawaii Kiwis,38,20,19.63157894736842,17.42105263157895,2.5526315789473686,0.5789473684210527,7.315789473684211,34.9,52.6,52.6,NEXO,Other
Barça eSports,118,62,16.1864406779661,15.398305084745763,2.2711864406779663,0.559322033898305,6.279661016949152,32.1,52.5,52.5,LVP SL,Europe
Bushido Wildcats,71,37,15.732394366197184,14.929577464788732,2.2535211267605635,0.5915492957746479,5.873239436619718,33.7,52.1,52.5,TCL,Europe
CCG Esports,42,22,15.523809523809524,14.976190476190476,2.5238095238095237,0.5714285714285714,6.214285714285714,33.0,52.4,52.4,NACL,North America
Vivo Keyd Stars,69,36,14.884057971014492,14.318840579710145,2.2028985507246377,0.5507246376811594,5.797101449275362,32.7,52.2,52.2,LTA S,Latin America
Team Secret Whales,78,43,15.397435897435898,13.346153846153847,2.6153846153846154,0.48717948717948717,5.871794871794871,33.5,55.1,52.2,LCP,Southeast Asia
FN Esports,27,14,18.444444444444443,17.85185185185185,2.259259259259259,0.5925925925925926,6.333333333333333,31.5,51.9,51.9,AL,Europe
FURIA,67,35,14.567164179104477,12.91044776119403,2.208955223880597,0.5970149253731343,6.223880597014926,32.9,52.2,51.8,LTA S,Latin America
