champion,games,winrate,avg_kills,avg_deaths,avg_assists,kda
Kayn,42,0.5714285714285714,4.785714285714286,4.023809523809524,6.928571428571429,2.911242603550296
Zilean,39,0.46153846153846156,1.2307692307692308,2.58974358974359,10.538461538461538,4.544554455445545
Janna,39,0.41025641025641024,0.5384615384615384,2.923076923076923,11.025641025641026,3.956140350877193
Soraka,38,0.47368421052631576,0.4473684210526316,3.289473684210526,11.973684210526315,3.7760000000000002
Kha'Zix,37,0.5945945945945946,5.108108108108108,2.945945945945946,6.702702702702703,4.009174311926605
Yuumi,37,0.43243243243243246,0.5135135135135135,2.4324324324324325,11.35135135135135,4.877777777777777
Bel'Veth,36,0.5833333333333334,4.944444444444445,2.8333333333333335,6.166666666666667,3.9215686274509802
Twitch,35,0.4,6.4,4.2,4.714285714285714,2.64625850340136
Vex,35,0.5142857142857142,4.685714285714286,3.2,6.571428571428571,3.5178571428571423
Urgot,32,0.25,4.53125,5.0625,3.0,1.4876543209876543
Veigar,30,0.5,5.0,2.8333333333333335,6.533333333333333,4.070588235294117
Nilah,28,0.6428571428571429,6.357142857142857,3.9285714285714284,6.107142857142857,3.172727272727273
Kassadin,28,0.39285714285714285,4.678571428571429,2.75,4.321428571428571,3.272727272727273
Warwick,27,0.5185185185185185,3.8518518518518516,5.074074074074074,5.037037037037037,1.751824817518248
Vel'Koz,27,0.5925925925925926,4.518518518518518,2.6666666666666665,7.074074074074074,4.347222222222222
Nunu & Willump,25,0.44,2.2,4.08,9.68,2.911764705882353
Tryndamere,23,0.391304347826087,3.5217391304347827,3.5217391304347827,3.3043478260869565,1.9382716049382716
Zaahen,22,0.5454545454545454,2.909090909090909,3.090909090909091,4.590909090909091,2.4264705882352944
Kayle,21,0.42857142857142855,4.571428571428571,3.5238095238095237,5.142857142857143,2.756756756756757
Malzahar,21,0.5714285714285714,3.3333333333333335,3.2857142857142856,8.142857142857142,3.4927536231884058
Riven,20,0.65,4.9,2.8,4.45,3.339285714285715
Ekko,20,0.4,4.65,3.15,3.65,2.6349206349206353
Talon,19,0.47368421052631576,5.526315789473684,4.473684210526316,6.2105263157894735,2.623529411764706
Shyvana,19,0.42105263157894735,4.052631578947368,4.157894736842105,6.315789473684211,2.4936708860759493
Hecarim,16,0.5625,4.875,4.25,7.6875,2.9558823529411766
Graves,15,0.26666666666666666,5.066666666666666,4.2,6.4,2.7301587301587302
Rengar,13,0.46153846153846156,4.0,4.230769230769231,7.461538461538462,2.709090909090909
Sona,12,0.3333333333333333,1.1666666666666667,3.4166666666666665,11.083333333333334,3.5853658536585367
Akshan,12,0.5,5.583333333333333,3.9166666666666665,4.5,2.574468085106383
Samira,11,0.45454545454545453,7.454545454545454,4.0,5.363636363636363,3.204545454545454
Singed,11,0.45454545454545453,3.4545454545454546,5.181818181818182,8.181818181818182,2.2456140350877196
Shaco,10,0.5,4.5,3.4,7.5,3.5294117647058822
Nasus,9,0.4444444444444444,3.3333333333333335,4.111111111111111,3.3333333333333335,1.621621621621622
Illaoi,8,0.375,3.5,6.125,3.875,1.2040816326530612
Katarina,7,0.0,3.7142857142857144,4.428571428571429,3.0,1.5161290322580645
Master Yi,7,0.42857142857142855,7.0,4.142857142857143,3.7142857142857144,2.586206896551724
Quinn,7,0.42857142857142855,3.0,5.142857142857143,3.857142857142857,1.3333333333333333
Teemo,6,0.5,3.5,5.333333333333333,6.0,1.78125
Heimerdinger,6,0.6666666666666666,2.8333333333333335,2.5,8.166666666666666,4.4
Rammus,5,0.2,1.2,5.0,5.4,1.32
Evelynn,4,0.75,7.75,2.5,10.25,7.2
Fizz,1,0.0,0.0,5.0,1.0,0.2
Briar,1,0.0,2.0,8.0,4.0,0.75
