team,games,winrate,avg_kills,avg_deaths,avg_dragons,avg_barons,avg_towers,avg_gamelength
Team Tockers,1,1.0,35.0,26.0,0.0,1.0,10.0,1743.0
Temper & Friends,3,1.0,20.666666666666668,11.333333333333334,3.3333333333333335,0.0,8.666666666666666,1868.3333333333333
Apex Predator,5,1.0,23.4,13.8,2.8,0.8,8.8,1876.4
NGU eSports,3,1.0,28.333333333333332,14.333333333333334,2.6666666666666665,0.3333333333333333,8.666666666666666,1868.3333333333333
Geekay Esports,95,0.8315789473684211,20.526315789473685,12.021052631578947,2.4526315789473685,0.6526315789473685,8.473684210526315,1804.3894736842105
Los Ratones,109,0.7981651376146789,17.908256880733944,12.899082568807339,2.926605504587156,0.7339449541284404,8.055045871559633,1905.7339449541284
Macko Esports,19,0.7894736842105263,18.63157894736842,11.789473684210526,2.0,0.631578947368421,8.526315789473685,1862.578947368421
Hyper Vortex Esports,14,0.7857142857142857,19.642857142857142,13.928571428571429,2.642857142857143,0.7857142857142857,8.214285714285714,2005.5
LEO,14,0.7857142857142857,25.285714285714285,18.642857142857142,2.142857142857143,0.42857142857142855,7.857142857142857,1838.4285714285713
REJECT,60,0.7833333333333333,21.533333333333335,12.333333333333334,2.55,0.6666666666666666,8.266666666666667,1775.1833333333334
BERZLOY,4,0.75,23.5,17.5,3.0,1.0,7.0,1947.0
SINS Esports,8,0.75,22.375,14.25,3.0,0.625,8.125,1919.625
Luminosity Gaming,64,0.75,17.75,9.296875,2.9375,0.75,7.84375,1952.671875
T1 Esports Academy Rookies,122,0.7295081967213115,22.0,13.245901639344263,2.5737704918032787,0.6065573770491803,7.663934426229508,1836.655737704918
Dream in 24,40,0.725,24.2,15.95,2.525,0.375,7.675,1710.525
RED Academy,47,0.723404255319149,18.829787234042552,14.340425531914894,2.6808510638297873,0.6808510638297872,7.23404255319149,1931.340425531915
FlameHard,54,0.7222222222222222,21.796296296296298,17.444444444444443,2.574074074074074,0.6666666666666666,8.537037037037036,1923.2962962962963
Nocturne Gale,50,0.72,21.36,14.62,2.94,0.7,7.58,1950.62
Team WE Academy,7,0.7142857142857143,24.0,14.857142857142858,3.142857142857143,0.8571428571428571,7.857142857142857,2131.4285714285716
Oh My God Academy,7,0.7142857142857143,19.714285714285715,9.857142857142858,2.2857142857142856,0.14285714285714285,6.857142857142857,1660.857142857143
Berlin International Gaming,103,0.7087378640776699,19.436893203883496,13.37864077669903,2.3980582524271843,0.6601941747572816,7.766990291262136,1844.2718446601941
Deep Cross Gaming,122,0.7049180327868853,21.614754098360656,14.87704918032787,2.5901639344262297,0.4672131147540984,7.032786885245901,1756.0
FlyQuest,91,0.7032967032967034,16.384615384615383,12.274725274725276,2.6263736263736264,0.6923076923076923,7.230769230769231,1993.4945054945056
Gen.G,167,0.7005988023952096,16.095808383233532,12.1437125748503,2.586826347305389,0.6287425149700598,7.07185628742515,1920.245508982036
LNG Academy,10,0.7,21.6,16.7,1.5,0.5,6.9,1676.6
Kiedyś Miałem Fun,26,0.6923076923076923,20.423076923076923,16.884615384615383,2.1153846153846154,0.6538461538461539,8.0,1968.8846153846155
Team Phantasma,94,0.6914893617021277,20.25531914893617,14.702127659574469,2.648936170212766,0.723404255319149,7.659574468085107,1929.6702127659576
KT Rolster Challengers,129,0.689922480620155,19.790697674418606,14.790697674418604,2.7751937984496124,0.49612403100775193,7.1937984496124034,1880.6899224806202
GIANTX Pride,87,0.6896551724137931,17.275862068965516,13.195402298850574,2.4367816091954024,0.7816091954022989,7.64367816091954,1977.9195402298851
Esprit Shōnen,76,0.6842105263157895,19.31578947368421,15.973684210526315,2.789473684210526,0.7368421052631579,7.828947368421052,1962.407894736842
Nightbirds,82,0.6829268292682927,18.573170731707318,14.378048780487806,2.4390243902439024,0.6219512195121951,7.780487804878049,1882.3536585365853
Otter Side,22,0.6818181818181818,19.954545454545453,14.363636363636363,2.590909090909091,0.8181818181818182,7.318181818181818,1887.4545454545455
CTBC Flying Oyster,119,0.6722689075630253,15.378151260504202,11.77310924369748,2.6218487394957983,0.6302521008403361,7.184873949579832,1915.2016806722688
Karmine Corp Blue,127,0.6692913385826772,17.086614173228348,12.913385826771654,2.8031496062992125,0.7952755905511811,7.7795275590551185,1969.4409448818897
Venus Gaming,6,0.6666666666666666,23.833333333333332,22.666666666666668,1.6666666666666667,0.6666666666666666,7.166666666666667,1824.6666666666667
LEO Esports,3,0.6666666666666666,25.0,18.0,1.6666666666666667,1.3333333333333333,8.0,1836.6666666666667
LGD Gaming Young Team,9,0.6666666666666666,18.666666666666668,15.555555555555555,2.5555555555555554,0.5555555555555556,6.777777777777778,1883.7777777777778
FUSION (Latin American Team),9,0.6666666666666666,20.666666666666668,15.777777777777779,2.0,0.6666666666666666,7.555555555555555,1861.3333333333333
Cusprills,15,0.6666666666666666,19.066666666666666,13.933333333333334,2.8666666666666667,0.9333333333333333,8.0,2043.1333333333334
Vivo Keyd Stars Academy,56,0.6607142857142857,17.267857142857142,12.732142857142858,2.642857142857143,0.6607142857142857,7.339285714285714,1942.4285714285713
inf,29,0.6551724137931034,18.655172413793103,15.206896551724139,2.5172413793103448,0.5862068965517241,6.931034482758621,1963.0
Misa Esports,95,0.6526315789473685,18.326315789473686,15.010526315789473,2.305263157894737,0.6526315789473685,7.178947368421053,1909.9157894736843
Team Valiant,46,0.6521739130434783,18.73913043478261,12.891304347826088,2.5217391304347827,0.6521739130434783,7.434782608695652,1874.108695652174
Deltan Gaming,37,0.6486486486486487,22.27027027027027,15.945945945945946,2.5675675675675675,0.4594594594594595,6.783783783783784,1721.162162162162
Saigon Dino,51,0.6470588235294118,20.11764705882353,15.0,2.803921568627451,0.6470588235294118,6.803921568627451,1939.4117647058824
eQuizers,17,0.6470588235294118,15.941176470588236,15.647058823529411,2.7058823529411766,1.0,7.176470588235294,2110.705882352941
Hanwha Life Esports,169,0.6449704142011834,17.14792899408284,13.934911242603551,2.437869822485207,0.6153846153846154,6.715976331360947,1932.7278106508875
Crvena zvezda Esports,90,0.6444444444444445,19.6,15.744444444444444,2.4444444444444446,0.5,7.311111111111111,1838.7333333333333
Zero Tenacity,104,0.6442307692307693,18.76923076923077,15.490384615384615,1.6923076923076923,0.5192307692307693,7.048076923076923,1865.9615384615386
KIA.eSuba Academy,81,0.6419753086419753,19.987654320987655,18.02469135802469,1.962962962962963,0.6172839506172839,7.0,1886.9382716049383
DarkZero Dragonsteel,53,0.6415094339622641,17.566037735849058,13.11320754716981,2.490566037735849,0.5094339622641509,7.169811320754717,2007.4905660377358
QT DIG∞,64,0.640625,18.875,13.453125,2.34375,0.421875,7.375,1756.828125
Cloud9,75,0.64,16.386666666666667,12.026666666666667,2.6133333333333333,0.7333333333333333,6.8133333333333335,1959.84
ZennIT,75,0.64,17.64,13.773333333333333,2.3866666666666667,0.6,7.1066666666666665,1904.24
We Can Win,11,0.6363636363636364,18.90909090909091,14.909090909090908,2.1818181818181817,0.6363636363636364,6.818181818181818,1810.6363636363637
KT Rolster Academy,74,0.6351351351351351,20.513513513513512,17.10810810810811,2.6621621621621623,0.5,7.22972972972973,1849.5675675675675
eSuba,98,0.6326530612244898,18.091836734693878,15.53061224489796,2.2755102040816326,0.5714285714285714,6.775510204081633,1840.1938775510205
Near Airport,38,0.631578947368421,16.157894736842106,13.789473684210526,2.8947368421052633,0.6842105263157895,7.447368421052632,2036.7105263157894
T1,187,0.6310160427807486,16.732620320855617,13.807486631016042,2.406417112299465,0.6256684491978609,6.641711229946524,1914.2941176470588
Anyone's Legend,186,0.6290322580645161,17.155913978494624,13.25268817204301,2.3978494623655915,0.6505376344086021,6.424731182795699,1954.5645161290322
Partizan Sangal,70,0.6285714285714286,17.84285714285714,13.757142857142858,2.742857142857143,0.5428571428571428,7.142857142857143,1844.0
Farenvehn,59,0.6271186440677966,16.864406779661017,14.135593220338983,2.3728813559322033,0.6949152542372882,7.338983050847458,2011.4237288135594
Top Esports,183,0.6229508196721312,16.262295081967213,15.21311475409836,2.2459016393442623,0.6010928961748634,6.502732240437158,1925.879781420765
Frank Esports,100,0.62,18.16,14.82,1.98,0.53,6.94,1829.22
Fuego,47,0.6170212765957447,20.78723404255319,15.829787234042554,2.617021276595745,0.8297872340425532,7.148936170212766,2091.872340425532
mCon esports,73,0.6164383561643836,19.438356164383563,13.89041095890411,2.767123287671233,0.6712328767123288,7.383561643835616,1935.3013698630136
Galions,86,0.6162790697674418,16.930232558139537,12.94186046511628,2.36046511627907,0.686046511627907,6.941860465116279,1959.1046511627908
Los Heretics,125,0.616,16.464,13.136,2.472,0.656,7.016,1958.672
T1 Esports Academy,148,0.6148648648648649,16.54054054054054,14.756756756756756,2.1621621621621623,0.6216216216216216,7.013513513513513,1893.4797297297298
Bilibili Gaming,189,0.6031746031746031,17.206349206349206,14.380952380952381,2.4497354497354498,0.656084656084656,6.904761904761905,1939.2857142857142
CGN Esports,40,0.6,18.875,19.025,2.625,0.7,7.35,1903.3
7REX,10,0.6,17.3,12.6,2.4,0.8,6.4,1979.4
NORD Esports,60,0.6,18.25,13.8,2.316666666666667,0.55,6.833333333333333,1905.7
Fnatic,85,0.6,14.929411764705883,13.411764705882353,2.4941176470588236,0.6470588235294118,6.588235294117647,1970.7411764705882
Diversion Gaming,77,0.5974025974025974,20.766233766233768,18.896103896103895,2.4545454545454546,0.6363636363636364,6.64935064935065,1864.7662337662337
Karmine Corp,106,0.5943396226415094,14.650943396226415,12.59433962264151,2.707547169811321,0.6509433962264151,6.820754716981132,1993.5471698113208
Estral Esports,32,0.59375,17.65625,13.9375,2.59375,0.40625,6.78125,1873.0625
G2 Esports,113,0.5929203539823009,13.769911504424778,11.557522123893806,2.47787610619469,0.6371681415929203,6.734513274336283,1953.0265486725664
Yang Yang Gaming,56,0.5892857142857143,21.553571428571427,17.625,2.2857142857142856,0.5892857142857143,6.464285714285714,1816.3214285714287
Verdant,68,0.5882352941176471,16.705882352941178,14.014705882352942,2.6029411764705883,0.5735294117647058,6.617647058823529,1938.514705882353
VARREL YOUTH,51,0.5882352941176471,16.84313725490196,16.058823529411764,2.0784313725490198,0.45098039215686275,6.450980392156863,1857.7450980392157
Invictus Gaming,150,0.5866666666666667,16.30666666666667,15.44,2.5733333333333333,0.6266666666666667,6.233333333333333,1976.9
Hanwha Life Esports Academy,135,0.5851851851851851,20.77777777777778,18.562962962962963,1.9037037037037037,0.5555555555555556,6.118518518518519,1849.4444444444443
Isurus,24,0.5833333333333334,15.75,12.625,2.2083333333333335,0.5,6.916666666666667,1849.7916666666667
